x_coordinate,y_coordinate,0
1524,1851,79
0,0,62
189,1359,58
359,564,55
1999,0,51
1999,1999,45
249,1444,44
192,1358,41
108,1391,40
635,482,39
108,1390,37
1058,756,37
189,1358,36
194,488,36
188,1359,36
634,482,35
918,1862,35
189,1357,35
183,1362,34
122,1582,34
188,1358,34
109,1390,34
349,564,33
188,1357,33
190,1358,33
1999,34,33
0,1969,32
189,1360,32
1964,732,32
192,1360,32
697,524,31
104,768,31
192,1359,31
697,528,31
246,1444,30
191,1358,30
108,1389,30
190,1360,29
693,524,29
1524,1850,28
188,1360,28
1852,590,28
190,1359,28
193,1356,27
123,1597,27
186,1360,27
191,1360,27
299,372,27
188,1356,27
695,526,26
195,489,26
193,1361,26
185,217,26
0,1999,26
108,1392,25
247,1444,25
120,1560,25
193,1359,25
107,1398,24
189,1361,24
248,1444,24
186,1358,24
1681,1082,24
1044,56,24
1022,56,24
249,1761,23
1970,732,23
193,488,23
185,1358,23
662,223,23
421,378,23
105,768,23
117,1633,23
1174,1866,23
190,1357,23
108,1398,22
191,1356,22
1898,1491,22
192,1361,22
107,1390,22
193,1358,22
1524,1852,22
186,1359,22
1949,721,22
193,1357,22
188,1361,22
122,1609,21
1043,57,21
1940,709,21
1966,732,21
193,1362,21
55,1985,21
107,1389,21
1821,1939,21
107,1391,21
0,1443,21
195,488,21
119,1584,21
1945,732,21
697,527,21
694,528,20
271,1955,20
421,377,20
107,1388,20
1680,1203,20
186,1361,20
94,1623,20
1965,732,20
1017,1372,20
1967,732,20
194,489,20
130,1623,20
261,445,20
1000,275,20
190,1361,20
1504,450,20
121,1610,20
83,1443,20
182,1371,20
120,1612,20
193,1360,20
120,1601,20
182,1939,20
121,1607,20
111,1586,19
693,528,19
117,1578,19
122,1600,19
270,1955,19
248,1760,19
427,1677,19
1692,1342,19
1059,756,19
119,1617,19
633,478,19
214,1416,19
218,488,19
978,466,19
108,1397,19
1948,732,19
112,1388,18
433,1676,18
1610,291,18
203,1615,18
940,181,18
696,524,18
1681,1081,18
297,1376,18
1678,1083,18
810,1868,18
420,420,18
431,1677,18
119,1609,18
728,1960,18
189,1356,18
1954,732,18
426,377,18
634,481,18
209,1060,18
1522,1878,18
79,1357,18
1040,235,18
137,1774,18
984,450,18
194,1361,18
125,1624,18
124,1768,17
131,1519,17
192,1356,17
176,1895,17
191,1357,17
1940,712,17
118,1521,17
1000,1000,17
0,1444,17
1968,732,17
1692,1204,17
1073,122,17
192,1362,17
184,1356,17
380,322,17
121,1853,17
1042,235,17
1503,459,17
194,1355,17
1996,2,17
94,1565,17
1681,1080,17
182,1938,17
193,489,17
183,1361,16
215,1416,16
290,1376,16
1962,732,16
635,512,16
370,379,16
635,477,16
1854,590,16
114,1599,16
693,526,16
1350,1692,16
118,1525,16
311,1986,16
187,1358,16
1043,235,16
1952,732,16
191,1361,16
1969,732,16
185,1361,16
297,1377,16
130,1580,16
1679,1082,16
1060,756,16
122,1878,16
123,1769,16
1940,710,16
1481,504,16
1907,1472,16
110,1598,16
249,1969,16
695,528,16
108,1592,16
428,1677,16
694,526,16
175,216,16
105,1603,16
111,1388,16
121,1622,16
251,1942,16
244,1444,16
118,1607,15
119,1601,15
1043,56,15
122,1857,15
429,1677,15
422,396,15
198,1720,15
1940,708,15
1,1,15
116,1531,15
635,511,15
122,1610,15
573,1213,15
147,1617,15
120,1546,15
106,1582,15
144,1564,15
369,395,15
732,1588,15
1205,134,15
189,1362,15
1491,719,15
205,1473,15
176,217,15
1682,1082,15
108,1394,15
1943,19,15
130,1526,15
1815,1782,15
185,1359,15
151,1577,15
1947,732,15
123,1538,15
1540,1872,15
119,1564,15
116,1610,15
213,1562,15
107,1607,15
124,1769,15
213,1958,15
1999,33,15
361,380,15
1940,711,15
1950,721,15
218,1983,15
192,1653,15
184,217,15
1371,1695,15
1918,125,15
1832,1923,15
258,1958,15
111,1547,15
119,1534,14
119,1600,14
215,1140,14
19,122,14
205,1958,14
1888,1479,14
122,1536,14
119,1537,14
732,1587,14
82,1443,14
1988,99,14
110,1605,14
205,1648,14
153,1565,14
635,481,14
426,368,14
1955,725,14
349,1754,14
376,399,14
1953,732,14
790,1868,14
119,1519,14
119,1553,14
54,1985,14
150,1631,14
431,1678,14
106,1389,14
112,1587,14
240,1609,14
421,375,14
104,1596,14
1971,732,14
184,1358,14
275,1461,14
125,1595,14
1995,3,14
598,545,14
1330,356,14
695,527,14
190,1356,14
1832,1924,14
1936,718,14
52,1760,14
696,526,14
106,1390,14
130,1549,14
345,383,14
1058,757,14
144,1566,14
116,1636,14
176,377,14
154,1605,14
121,1890,14
342,387,14
18,282,14
1682,1080,14
116,1641,14
209,1476,14
109,1389,13
563,1271,13
192,1357,13
567,1295,13
250,131,13
640,477,13
146,1589,13
156,1595,13
249,1445,13
99,1595,13
189,1355,13
432,1679,13
1578,1496,13
191,1355,13
800,1880,13
211,1416,13
108,1586,13
635,479,13
632,478,13
109,1598,13
370,394,13
1986,1711,13
125,1550,13
109,1543,13
1073,121,13
110,1387,13
1936,722,13
114,1751,13
975,473,13
1998,0,13
421,380,13
1430,1021,13
1958,732,13
122,1859,13
102,1548,13
151,1617,13
110,1624,13
1062,756,13
111,1525,13
109,1393,13
101,1587,13
185,1357,13
111,1509,13
1045,57,13
1652,1264,13
1501,951,13
1684,1081,13
1521,1879,13
375,414,13
1680,1080,13
123,1612,13
118,1567,13
1205,161,13
1370,1694,13
693,525,13
1042,57,13
1942,732,13
1664,1269,13
1898,1493,13
1666,1281,13
1,1443,13
1,1444,13
218,1621,13
127,1518,13
117,1586,13
196,490,12
985,450,12
117,1632,12
1996,27,12
118,1595,12
145,1543,12
1521,1878,12
771,735,12
119,1618,12
125,1643,12
1038,235,12
18,122,12
118,1633,12
432,1736,12
170,1838,12
79,1356,12
16,1647,12
123,1881,12
111,1601,12
116,1605,12
1664,1238,12
116,1600,12
344,1752,12
146,1603,12
29,1639,12
432,1677,12
1059,757,12
280,162,12
624,551,12
419,378,12
95,1890,12
108,1602,12
114,1609,12
204,1833,12
113,1614,12
1959,732,12
1974,1800,12
214,1461,12
113,1672,12
1694,1342,12
187,1357,12
122,1560,12
