x_coordinate,y_coordinate,0
124,1628,70
124,1633,60
125,1631,59
124,1621,59
124,1627,58
125,1627,58
125,1618,53
124,1622,53
124,1620,52
123,1621,51
124,1634,50
124,1623,49
125,1612,48
124,1626,47
125,1628,47
124,1636,47
125,1619,46
124,1611,44
123,1626,44
124,1624,43
125,1617,43
124,1629,43
125,1638,42
124,1618,42
124,1617,42
125,1641,42
124,1625,42
124,1613,41
123,1630,41
123,1625,41
122,1636,40
100,1561,40
126,1612,40
125,1639,40
123,1635,39
124,1631,39
125,1613,38
124,1619,37
125,1633,37
123,1623,37
96,1627,36
125,1621,36
125,1623,36
127,1624,36
124,1638,36
125,1626,36
123,1634,36
122,1621,36
123,1624,36
123,1631,36
124,1616,35
123,1633,35
124,1639,35
125,1630,35
123,1614,35
126,1624,35
125,1625,35
122,1622,35
124,1635,35
126,1623,35
122,1635,34
122,1634,34
119,1572,34
124,1612,34
1999,1999,34
123,1620,33
125,1616,33
125,1620,33
122,1624,33
123,1628,33
123,1627,33
149,1562,32
125,1640,32
124,1630,32
124,1615,32
123,1618,31
129,1556,31
125,1624,31
125,1622,31
126,1618,31
125,1636,31
0,0,31
120,1572,30
121,1573,30
113,1555,30
123,1612,30
121,1574,30
121,1611,30
126,1629,30
123,1632,30
124,1632,30
124,1588,29
126,1630,29
125,1637,29
126,1640,29
125,1632,29
123,1619,28
122,1631,28
125,1634,28
125,1635,28
126,1611,28
123,1629,28
122,1574,27
128,1579,27
122,1617,27
122,1620,27
123,1636,27
125,1611,27
123,1613,27
124,1643,27
124,1610,27
101,1568,26
126,1636,26
1724,313,26
101,1561,26
101,1569,25
130,1556,25
142,1557,25
96,1637,25
130,1611,25
122,1610,24
126,1626,24
147,1574,24
127,1630,24
103,1574,24
126,1622,24
119,1588,23
136,1575,23
126,1559,23
103,1551,23
103,1547,23
120,1574,23
123,1611,23
150,1561,23
119,1612,23
112,1557,23
123,1617,23
127,1623,23
95,1627,23
95,1628,23
126,1638,23
124,1614,23
97,1574,23
123,1622,23
120,1573,22
104,1551,22
126,1627,22
1718,317,22
113,1556,22
124,1640,22
122,1613,22
123,1641,22
127,1574,22
127,1573,22
112,1556,22
125,1588,22
120,1551,22
127,1636,22
100,1569,22
122,1623,22
122,1633,22
101,1554,22
149,1612,21
125,1610,21
135,1575,21
126,1613,21
121,1551,21
118,1543,21
150,1564,21
121,1635,21
100,1555,21
123,1643,21
109,1573,21
103,1603,21
102,1557,21
359,564,21
109,1554,21
1999,1659,21
95,1625,21
125,1589,21
125,1629,20
124,1641,20
137,1557,20
102,1556,20
126,1617,20
122,1632,20
126,1588,20
123,1644,20
121,1593,20
141,1570,20
96,1624,20
132,1610,20
1672,76,20
97,1628,20
123,1615,20
95,1645,20
574,557,20
121,1614,20
150,1622,20
128,1559,20
121,1613,20
97,1572,20
128,1575,20
103,1567,20
124,1637,20
139,1555,20
124,1575,20
115,1589,20
101,1546,20
131,1611,20
126,1631,20
136,1588,20
1987,100,20
112,1555,20
101,1545,20
126,1639,20
99,1566,19
95,1575,19
123,1637,19
125,1581,19
120,1546,19
95,1632,19
111,1593,19
122,1611,19
127,1628,19
120,1555,19
125,1642,19
126,1635,19
117,1612,19
148,1589,19
122,1581,19
121,1622,19
98,1575,19
126,1621,19
124,1584,19
126,1560,19
112,1552,19
154,1629,19
143,1566,19
140,1050,19
1023,57,19
122,1618,19
102,1586,19
1999,0,18
102,1559,18
119,1595,18
102,1561,18
119,1573,18
129,1573,18
365,375,18
142,1567,18
123,1642,18
103,1573,18
105,1574,18
100,1563,18
103,1548,18
150,1563,18
103,1587,18
122,1579,18
121,1581,18
103,1604,18
127,1559,18
96,1628,18
125,1614,18
106,1590,18
101,1560,18
123,1558,18
99,1631,18
109,1574,18
126,1625,18
126,1641,18
98,1625,18
97,1623,18
119,1611,18
121,1628,18
124,1580,18
154,1575,18
97,1631,18
128,1560,18
124,1581,18
1899,1491,18
166,1036,18
122,1553,18
144,1561,18
123,1616,18
127,1570,17
120,1611,17
121,1636,17
100,1586,17
138,1557,17
96,1626,17
118,1611,17
142,1582,17
104,1562,17
127,1633,17
126,1628,17
95,1624,17
126,1619,17
97,1575,17
100,1628,17
129,1579,17
144,1569,17
98,1578,17
98,1585,17
104,1572,17
127,1592,17
573,557,17
150,1582,17
149,1583,17
145,1562,17
126,1579,17
101,1557,17
126,1620,17
119,1602,17
124,1582,17
136,1554,17
99,1550,17
124,1589,17
121,1629,17
146,1565,17
116,1612,17
122,1626,17
99,1563,17
124,1642,17
132,1577,17
1524,1850,17
102,1565,17
146,1554,17
131,1612,17
122,1614,17
123,1577,17
150,1568,17
150,1613,17
97,1625,17
130,1574,17
100,1567,16
133,1602,16
101,1558,16
100,1565,16
126,1614,16
127,1572,16
98,1553,16
126,1610,16
103,1550,16
98,1563,16
114,1566,16
121,1550,16
96,1574,16
98,1566,16
111,1561,16
112,1553,16
155,1566,16
100,1571,16
99,1577,16
126,1574,16
375,390,16
97,1554,16
99,1556,16
122,1629,16
122,1625,16
122,1619,16
111,1554,16
102,1574,16
126,1642,16
102,1580,16
109,1542,16
102,1582,16
151,1562,16
162,1037,16
116,1600,16
128,1574,16
102,1587,16
1058,756,16
142,1569,16
126,1634,16
123,1576,16
127,1629,16
99,1632,16
120,1593,16
98,1586,16
141,1568,16
130,1555,16
140,1583,16
100,1550,16
