x_coordinate,y_coordinate,0
138,1689,156
139,1689,149
139,1688,124
139,1690,121
140,1689,108
138,1690,97
138,1688,91
140,1688,85
137,1689,78
238,1879,74
241,1879,64
140,1690,63
0,0,60
138,1687,53
1999,1999,51
141,1689,48
141,1688,44
137,1688,43
1999,0,43
1524,1851,43
132,1675,42
1524,1850,41
139,1691,40
138,1691,40
662,222,40
137,1690,40
201,1663,38
1023,57,38
249,1444,37
697,527,36
1058,756,36
918,1862,33
1610,291,32
349,564,32
246,1444,32
242,1879,32
0,1999,31
137,1687,30
240,1869,30
359,564,29
295,1971,29
1058,755,29
140,1687,29
1515,467,29
1366,356,28
139,1687,28
128,1442,28
1522,1879,28
1059,756,28
210,1444,28
141,1690,27
1024,57,27
224,1444,26
201,1665,26
237,1879,26
203,1958,25
342,388,25
197,1513,25
239,1869,25
245,1444,25
1680,1203,25
243,1444,25
433,1679,24
1887,35,24
144,1442,24
422,389,24
422,390,24
1692,1204,23
99,1442,23
222,1741,23
227,1444,23
1827,1781,23
296,1971,23
136,1689,23
1976,74,23
242,1444,23
133,1442,22
123,1442,22
208,1444,22
222,1444,22
140,1691,22
294,1971,22
119,1442,22
1022,57,22
423,377,22
220,1444,21
238,1444,21
218,488,21
919,1853,21
217,1444,21
697,528,21
424,381,21
635,482,21
219,1444,21
1042,235,20
1988,99,20
1430,1019,20
1643,1341,20
207,1444,20
148,1675,20
1999,34,19
1490,719,19
195,1602,19
234,1880,19
84,1442,19
196,487,19
1060,755,19
387,388,19
115,1442,19
138,1442,19
120,1442,19
198,1444,19
661,222,19
0,1442,19
1995,3,19
693,525,19
136,1690,18
431,1700,18
949,284,18
19,1390,18
693,528,18
1794,1980,18
102,1442,18
1060,756,18
422,379,18
98,1442,18
236,1444,18
285,1952,18
1999,33,18
345,382,18
246,1443,18
190,1444,18
635,481,18
116,1442,18
204,1958,18
1898,1493,18
249,1443,18
298,1971,18
1174,1866,18
634,482,17
87,1442,17
248,1444,17
211,1444,17
1795,1978,17
1522,1878,17
697,524,17
136,1688,17
924,1856,17
480,344,17
165,1444,17
1898,1492,17
262,1551,17
131,1675,17
2,502,17
693,524,17
142,1688,17
206,1948,17
1515,350,17
1,501,17
137,1691,17
195,488,17
195,1444,17
104,1442,17
181,1444,17
111,1442,17
1044,235,17
205,1444,17
247,1444,17
216,1542,16
147,1674,16
799,92,16
1047,58,16
1664,1238,16
932,1057,16
799,95,16
432,1676,16
192,1444,16
234,1444,16
104,768,16
222,1742,16
1602,1659,16
237,1444,16
300,1971,16
245,1880,16
244,1444,16
799,94,16
694,528,16
194,489,16
1059,755,16
148,1442,16
352,1758,16
228,1444,16
423,378,16
775,739,16
149,1442,16
196,488,16
196,489,16
196,1444,16
1559,1658,16
194,488,16
262,1550,16
563,951,16
1852,590,16
1024,58,16
1805,1775,16
47,1442,16
93,1442,16
973,115,15
221,1444,15
1062,86,15
1799,1987,15
92,1442,15
247,1443,15
1795,1979,15
1851,590,15
697,526,15
114,1442,15
1795,1977,15
121,1442,15
1746,1648,15
200,1444,15
428,374,15
1079,62,15
223,1741,15
1410,660,15
105,1442,15
634,481,15
83,1644,15
131,1442,15
129,1442,15
270,1955,15
48,1442,15
238,1869,15
205,1958,15
206,1444,15
117,1442,15
187,1444,15
302,1971,15
1819,1939,15
229,1444,15
343,382,15
349,374,15
89,1442,15
201,1444,15
96,1442,15
1000,1000,15
147,1442,15
695,528,14
1,1442,14
110,1442,14
195,1599,14
1648,1868,14
377,389,14
951,283,14
1995,28,14
142,1689,14
20,1391,14
1208,1999,14
216,1444,14
638,479,14
118,1442,14
103,1442,14
952,642,14
1062,756,14
422,377,14
598,545,14
188,1444,14
1201,1156,14
799,93,14
241,1444,14
1634,1344,14
230,1444,14
388,406,14
231,1444,14
813,89,14
72,1442,14
300,344,14
218,1444,14
166,1444,14
195,1603,14
225,1444,14
297,1376,14
232,1444,14
198,1512,14
167,1444,14
122,1882,14
131,1683,13
381,407,13
31,1778,13
100,1442,13
209,1444,13
934,1057,13
146,1442,13
240,1879,13
1898,1491,13
373,396,13
91,1442,13
101,1442,13
204,1444,13
85,1442,13
239,1444,13
122,1442,13
218,1548,13
217,491,13
250,1443,13
1724,1983,13
113,1442,13
733,1588,13
206,1947,13
659,1227,13
732,1587,13
963,955,13
109,1442,13
1042,58,13
105,768,13
18,1389,13
106,1442,13
193,489,13
88,1442,13
1417,350,13
441,1688,13
738,1960,13
424,366,13
262,1545,13
633,728,13
212,1444,13
130,1444,13
359,397,13
200,1664,13
1794,1979,13
1794,1978,13
214,1444,13
250,1436,13
1834,488,13
182,1444,13
213,1444,13
332,664,13
1908,1472,13
940,181,13
211,1573,13
695,527,13
1504,458,13
215,1444,13
1692,1205,12
123,1885,12
384,387,12
303,1971,12
1928,581,12
1505,460,12
161,1444,12
196,490,12
931,1852,12
203,1666,12
1504,454,12
383,393,12
610,1425,12
60,1442,12
1692,1342,12
4,1442,12
1360,844,12
157,1444,12
183,1444,12
1044,58,12
1695,1342,12
1788,1409,12
1788,1410,12
86,1442,12
1061,756,12
165,1043,12
194,1602,12
363,381,12
1604,1675,12
195,1601,12
166,1077,12
361,394,12
225,1739,12
380,391,12
178,1444,12
201,1462,12
2,1442,12
1617,923,12
112,1442,12
800,92,12
732,1589,12
949,283,12
200,1663,12
695,526,12
250,1438,12
1614,237,12
1243,373,12
426,379,12
423,379,12
201,1664,12
1022,58,12
124,1442,12
172,216,12
1200,1330,12
205,363,12
696,524,12
419,377,12
1794,1977,12
111,1644,11
202,1444,11
423,366,11
1998,34,11
365,405,11
333,375,11
132,1674,11
867,1587,11
95,1442,11
1247,1334,11
3,1442,11
1991,102,11
1999,35,11
1410,648,11
210,526,11
105,964,11
1637,1592,11
1257,1544,11
693,526,11
1508,463,11
191,1444,11
224,1753,11
1503,463,11
29,1778,11
146,1674,11
2,500,11
343,372,11
1809,1931,11
634,480,11
1416,350,11
1523,1852,11
1017,1372,11
18,1390,11
1416,351,11
372,388,11
1505,458,11
1540,1881,11
894,1090,11
1467,1730,11
1559,1659,11
718,722,11
291,370,11
1956,1124,11
1560,1671,11
1956,1123,11
1206,237,11
1956,1122,11
150,1891,11
218,1772,11
619,1425,11
1956,1270,11
119,1875,11
729,1586,11
3,501,11
60,502,11
82,258,11
171,1894,11
537,472,11
146,1444,11
155,1442,11
1929,1271,11
1900,611,11
373,386,11
30,1779,11
179,1444,11
1375,671,10
1644,1341,10
264,1551,10
635,511,10
299,371,10
206,1958,10
11,1442,10
235,1444,10
439,1694,10
344,1456,10
436,374,10
731,1586,10
