x_coordinate,y_coordinate,0
0,0,36
1999,1999,36
85,1621,32
135,1611,31
117,1552,31
117,1551,31
1999,0,30
128,1556,29
83,1607,28
98,1530,28
129,1549,28
372,386,27
121,1555,27
97,1530,26
130,1575,26
120,1547,26
83,1606,26
84,1628,26
119,1557,26
130,1548,25
84,1606,25
124,1553,25
120,1552,25
98,1528,25
120,1549,24
130,1552,24
119,1558,24
129,1556,24
87,1614,24
124,1557,24
130,1549,24
121,1547,24
119,1556,24
128,1548,24
125,1554,24
123,1552,24
86,1617,24
122,1552,24
125,1553,24
134,1605,23
128,1557,23
83,1615,23
116,1551,23
121,1553,23
662,222,23
129,1550,23
100,1531,23
127,1575,23
127,1544,23
99,1531,23
98,1529,23
1058,756,23
136,1614,22
121,1572,22
83,1611,22
83,1614,22
99,1528,22
120,1555,22
359,564,22
121,1573,22
103,1530,22
124,1546,22
120,1565,22
135,1607,22
137,1612,22
104,768,22
126,1551,22
127,1547,22
127,1554,22
119,1552,21
117,1555,21
136,1556,21
118,1552,21
122,1555,21
122,1565,21
117,1548,21
117,1544,21
83,1627,21
113,1552,21
87,1626,21
96,1632,21
85,1603,21
124,1554,21
83,1605,21
130,1544,21
1865,203,21
85,1610,21
123,1564,21
125,1555,21
116,1552,21
136,1611,21
124,1548,20
126,1559,20
1061,756,20
124,1565,20
1858,203,20
128,1549,20
123,1541,20
129,1543,20
119,1553,20
122,1553,20
147,1529,20
126,1565,20
128,1544,20
85,1612,20
652,244,20
116,1543,20
122,1550,20
134,1606,20
86,1611,20
126,1574,20
126,1540,20
194,488,20
87,1618,20
130,1543,20
152,1528,20
119,1565,20
120,1546,20
129,1545,20
127,1573,20
128,1535,20
134,1612,20
118,1557,20
117,1543,20
115,1566,20
115,1574,20
400,1965,20
119,1547,20
102,1531,20
152,1529,20
121,1556,19
85,1617,19
1752,310,19
122,1541,19
126,1539,19
84,1627,19
119,1574,19
86,1623,19
129,1544,19
84,1615,19
84,1614,19
84,1613,19
141,1554,19
121,1552,19
136,1616,19
135,1608,19
83,1617,19
118,1565,19
926,446,19
83,1630,19
128,1555,19
122,1574,19
127,1555,19
118,1556,19
90,1634,19
128,1552,19
126,1558,19
123,1573,19
144,1572,19
83,1613,19
127,1540,19
113,1599,19
118,1558,19
120,1545,18
122,1583,18
124,1575,18
115,1546,18
134,1548,18
83,1597,18
127,1574,18
134,1547,18
99,1527,18
119,1551,18
83,1612,18
101,1532,18
121,1548,18
101,1530,18
121,1550,18
127,1562,18
100,1527,18
717,1199,18
100,1529,18
116,1550,18
85,1628,18
