x_coordinate,y_coordinate,0
860,766,157
859,766,145
1999,999,62
359,564,59
349,564,56
0,0,54
194,489,45
260,446,40
195,489,39
193,489,36
403,392,35
384,323,34
1495,692,33
300,375,32
403,393,32
633,728,31
780,888,31
300,372,30
299,372,30
0,999,29
298,837,28
298,839,28
634,512,27
195,488,27
300,371,27
420,420,27
195,490,27
955,781,27
270,385,26
260,447,26
81,524,26
919,586,25
533,474,25
124,290,24
210,511,24
199,392,24
39,661,24
881,949,24
19,128,24
300,373,24
300,374,24
786,774,23
194,488,23
299,373,23
1496,692,23
725,729,22
19,129,22
972,786,22
725,728,22
1774,367,22
195,487,22
19,127,22
480,472,22
360,564,21
1393,311,21
402,392,21
843,760,21
1540,628,21
983,791,21
1497,692,21
19,130,21
253,942,21
18,127,21
785,774,21
123,156,20
250,131,20
359,565,20
346,400,20
767,475,20
1127,801,20
193,488,20
277,386,20
635,475,20
1020,234,20
894,166,20
871,766,20
868,766,20
1016,35,19
735,726,19
349,565,19
730,413,19
1495,693,19
767,473,19
156,114,19
349,563,19
633,511,19
81,526,19
984,877,19
1178,868,18
773,473,18
1776,367,18
1127,786,18
1126,801,18
301,838,18
1999,0,18
301,373,18
325,852,18
402,393,18
533,475,18
298,371,18
792,891,18
1554,997,18
1559,994,17
101,562,17
1775,368,17
634,511,17
1506,634,17
301,839,17
634,477,17
618,835,17
403,391,17
1775,367,17
104,768,17
412,285,17
480,342,17
1774,368,17
773,472,17
332,664,17
205,507,17
359,563,17
1179,868,17
663,147,16
300,448,16
300,449,16
300,349,16
1930,631,16
480,460,16
139,108,16
417,452,16
1017,33,16
1864,386,16
1017,34,16
197,367,16
1180,901,16
635,512,16
1565,628,16
844,760,16
1487,677,16
256,943,16
298,372,16
773,475,16
576,309,16
954,959,16
19,134,16
143,290,15
852,79,15
108,953,15
108,954,15
19,131,15
300,450,15
727,729,15
1463,657,15
1194,644,15
534,474,15
397,391,15
154,114,15
767,474,15
152,356,15
773,474,15
241,131,15
658,958,15
532,474,15
217,486,15
298,840,15
1016,34,15
1509,631,15
634,743,15
217,487,14
1181,868,14
209,511,14
719,723,14
169,14,14
1596,465,14
726,731,14
794,767,14
719,734,14
129,857,14
481,343,14
774,735,14
722,734,14
210,510,14
788,520,14
1999,869,14
26,660,14
1802,500,14
301,449,14
1464,656,14
1464,655,14
423,922,14
20,127,14
724,727,14
983,790,14
1540,629,14
1894,191,14
1776,365,14
289,302,13
646,982,13
773,738,13
721,727,13
217,491,13
954,960,13
1564,628,13
1559,988,13
1559,986,13
1558,987,13
1195,645,13
129,994,13
480,473,13
260,448,13
412,291,13
175,894,13
1463,656,13
1498,692,13
155,115,13
841,952,13
1810,376,13
825,281,13
146,488,13
385,384,13
1180,868,13
1018,34,13
635,511,13
719,724,13
1775,366,13
1507,633,13
1775,369,13
788,641,13
1546,648,13
203,517,13
480,468,13
1552,648,13
1863,385,13
301,376,13
730,412,13
248,129,13
300,344,13
302,373,13
302,374,13
1005,830,13
301,375,13
725,731,13
302,375,13
724,729,13
124,954,12
1016,33,12
204,505,12
124,953,12
1327,638,12
480,458,12
724,732,12
301,352,12
302,376,12
301,351,12
792,890,12
302,450,12
1,0,12
375,412,12
464,236,12
740,436,12
1130,786,12
724,728,12
480,488,12
1666,21,12
767,471,12
343,384,12
769,475,12
937,870,12
770,473,12
215,507,12
722,719,12
252,772,12
213,293,12
256,941,12
212,389,12
69,420,12
350,564,12
481,342,12
1487,696,12
102,562,12
120,853,12
210,524,12
210,508,12
209,512,12
1559,995,12
725,719,12
1486,634,12
719,722,12
169,585,12
150,123,12
735,723,12
1151,977,12
167,14,12
572,313,12
402,391,12
1463,655,12
80,9,12
734,723,12
420,446,12
569,474,12
1614,922,12
161,14,12
242,132,12
673,59,12
242,130,12
854,642,12
308,508,12
735,721,12
72,487,12
726,732,12
719,721,12
701,475,12
1139,664,12
384,383,12
386,627,12
1541,634,12
1210,178,11
162,23,11
1571,877,11
722,728,11
489,780,11
1956,577,11
951,784,11
412,287,11
47,728,11
404,413,11
160,819,11
418,453,11
413,923,11
412,286,11
217,390,11
344,388,11
1428,811,11
722,727,11
771,469,11
344,393,11
770,475,11
531,488,11
340,391,11
403,389,11
480,510,11
1999,867,11
129,853,11
826,281,11
1999,868,11
367,393,11
758,721,11
651,965,11
793,767,11
301,837,11
800,89,11
635,476,11
1774,369,11
196,490,11
719,725,11
196,367,11
57,98,11
19,133,11
781,888,11
204,536,11
1592,447,11
717,723,11
154,573,11
400,396,11
425,713,11
1531,639,11
1127,771,11
720,727,11
403,373,11
247,771,11
924,590,11
480,490,11
569,475,11
302,501,11
300,352,11
1540,627,11
958,963,11
984,879,11
517,813,11
105,768,11
723,719,11
519,811,11
308,985,11
735,730,11
224,64,11
734,728,11
1559,987,11
514,201,11
101,561,11
38,662,11
720,734,10
511,508,10
1488,684,10
1858,34,10
129,855,10
788,519,10
1058,340,10
1557,924,10
1,1,10
723,734,10
743,734,10
791,767,10
209,525,10
480,495,10
686,205,10
480,501,10
135,293,10
464,977,10
787,463,10
209,510,10
301,374,10
203,519,10
637,473,10
594,249,10
647,984,10
634,508,10
301,450,10
921,277,10
504,201,10
205,506,10
480,459,10
209,497,10
1128,801,10
298,834,10
542,299,10
973,786,10
1558,988,10
261,956,10
480,491,10
229,64,10
758,720,10
652,984,10
275,379,10
401,419,10
25,174,10
636,475,10
424,713,10
1911,214,10
673,370,10
725,733,10
71,487,10
1005,866,10
404,391,10
90,427,10
573,949,10
1500,641,10
163,26,10
1970,625,10
171,14,10
1619,464,10
166,789,10
1617,922,10
300,354,10
306,505,10
726,730,10
155,355,10
1020,236,10
378,97,10
235,94,10
259,446,10
812,584,10
236,64,10
450,529,10
383,383,10
554,700,10
1773,367,10
1773,366,10
702,734,10
1179,866,10
389,415,10
1146,981,10
1550,648,10
393,395,10
183,522,10
152,355,10
307,507,10
532,476,10
1858,28,10
1780,897,10
339,396,10
1102,983,10
214,293,10
771,475,10
634,586,10
723,728,10
495,455,10
749,506,10
643,835,10
769,470,10
642,931,10
1776,368,10
344,396,10
108,955,10
642,835,10
773,735,10
495,610,10
37,660,10
772,474,10
772,475,10
543,307,10
1574,107,10
4,586,10
279,52,9
737,732,9
908,108,9
1957,587,9
263,956,9
300,499,9
380,394,9
727,727,9
1777,366,9
813,766,9
1596,463,9
747,732,9
344,395,9
961,38,9
523,809,9
263,931,9
653,984,9
269,28,9
384,441,9
652,982,9
314,514,9
734,725,9
740,799,9
1777,370,9
1017,35,9
1392,311,9
553,814,9
275,864,9
1598,464,9
1463,658,9
799,69,9
482,850,9
770,472,9
1575,898,9
132,995,9
344,324,9
718,726,9
1174,977,9
150,853,9
155,114,9
306,506,9
1005,831,9
767,472,9
154,355,9
434,865,9
554,814,9
1864,388,9
1859,21,9
843,762,9
19,132,9
238,542,9
1865,387,9
1549,641,9
734,730,9
153,114,9
1677,166,9
398,398,9
183,523,9
393,399,9
183,789,9
831,649,9
401,386,9
1999,866,9
984,876,9
708,728,9
519,501,9
723,674,9
146,490,9
900,104,9
66,267,9
941,157,9
1178,867,9
147,122,9
400,395,9
768,475,9
724,505,9
1485,634,9
636,476,9
250,682,9
393,297,9
1005,359,9
398,392,9
421,447,9
417,271,9
170,794,9
1015,34,9
921,278,9
774,736,9
633,476,9
480,471,9
1667,14,9
578,309,9
1016,32,9
720,736,9
480,477,9
1128,786,9
1102,683,9
1091,983,9
746,724,9
480,457,9
726,729,9
858,766,9
163,819,9
640,238,9
480,474,9
637,509,9
273,52,9
299,371,9
503,201,9
701,472,9
646,986,9
101,826,9
758,726,9
300,353,9
50,662,9
778,992,9
351,406,9
326,852,9
227,64,9
75,491,9
924,591,9
211,514,9
211,523,9
1619,460,9
208,525,9
1895,191,9
758,718,9
480,480,9
108,956,9
358,564,9
977,786,9
300,370,9
347,396,9
214,289,9
1005,864,9
303,500,9
764,60,9
1793,193,9
572,312,9
366,204,9
301,348,9
479,590,9
61,294,9
125,955,9
174,951,9
1592,480,9
20,909,9
631,475,9
104,663,9
213,292,9
758,723,9
720,717,9
1016,239,9
722,725,9
773,843,9
213,510,9
214,292,9
1260,918,8
733,726,8
523,807,8
167,581,8
1801,261,8
717,76,8
731,730,8
79,9,8
596,252,8
851,771,8
1169,49,8
716,721,8
1573,876,8
585,554,8
526,494,8
569,472,8
76,488,8
