x_coordinate,y_coordinate,0
1857,577,122
1851,574,84
1843,596,82
1657,1264,60
1230,1780,58
1987,99,54
1999,1999,51
1986,100,50
1244,1753,48
1939,1601,47
661,222,46
420,378,44
1216,1753,43
1215,1753,43
391,1478,40
1863,582,40
1857,586,39
1850,579,39
0,0,39
1867,576,38
8,1267,37
1850,586,37
1852,601,37
1206,1772,36
1230,1747,36
1859,573,35
1851,580,35
1244,1752,34
359,564,33
670,1287,33
1058,755,33
1230,1740,33
1984,96,32
1058,756,31
1985,99,31
1850,571,30
1229,1742,30
1847,610,30
0,1999,29
377,408,28
1987,98,28
1215,1752,28
1852,571,27
1947,1773,27
1856,581,27
1855,573,26
1854,576,26
1851,585,26
1984,93,25
297,1376,25
1999,0,25
1857,576,25
1851,579,25
1897,1490,25
1845,576,25
1947,1772,25
1898,1491,24
1655,1268,24
421,382,24
1537,1186,23
1988,98,23
1947,1774,23
1853,590,23
1852,592,23
1664,1254,23
1787,1540,23
1854,574,22
1857,574,22
105,768,22
1856,578,22
1395,622,22
104,768,22
349,564,21
1851,581,21
1947,1775,21
1838,590,21
1229,1738,21
1851,586,21
122,1073,21
1244,1754,21
422,382,21
1986,101,21
1607,1786,20
1228,1777,20
209,1642,20
1229,1775,20
1680,1203,20
1988,99,20
1859,574,20
1850,580,20
1859,596,20
1663,1253,20
1822,263,20
1059,756,20
1890,353,20
1851,590,19
1060,756,19
1694,1343,19
1850,578,19
1789,1409,19
1898,1490,19
424,386,19
1061,756,19
1445,1634,19
379,384,19
1767,1541,18
561,1448,18
582,1741,18
1048,57,18
1656,1289,18
1460,1635,18
1844,989,18
704,1249,18
1022,56,18
355,396,18
1779,1753,18
1692,1204,18
15,907,18
1000,1000,18
1247,377,17
1249,381,17
1694,1342,17
663,1276,17
378,388,17
661,224,17
1990,98,17
1216,1752,17
1972,76,17
1989,99,17
1236,1739,17
1855,576,17
114,1072,16
1909,1472,16
1231,1741,16
800,875,16
290,1377,16
969,466,16
1874,1797,16
1603,1089,16
205,1064,16
206,488,16
1897,1491,16
1231,1777,16
279,1078,16
1844,577,16
1855,585,16
1857,573,16
696,1831,16
1787,1541,16
1021,56,16
1247,1232,16
607,1417,16
1452,1637,16
1231,1768,16
1380,1359,16
1947,1769,16
420,379,16
1657,1276,15
1608,1786,15
463,1255,15
980,1024,15
561,1445,15
1446,1635,15
1857,585,15
377,396,15
419,370,15
1858,574,15
1660,1246,15
10,255,15
654,1229,15
1023,56,15
1721,1100,15
732,1587,15
392,1480,15
1231,1775,15
1850,590,15
1856,584,15
1866,580,15
286,1084,15
204,1561,15
1850,581,15
391,1498,15
1850,582,15
1897,1492,15
419,378,14
1651,253,14
864,1402,14
549,742,14
1844,576,14
389,1507,14
1833,550,14
1990,97,14
419,379,14
1848,585,14
562,1434,14
373,1468,14
1874,571,14
10,256,14
420,376,14
1441,1635,14
727,666,14
1937,1553,14
1228,1774,14
1049,56,14
703,1249,14
1947,1770,14
665,1292,14
848,769,14
1947,1776,14
1683,1239,14
257,941,14
348,372,14
0,1344,14
257,505,14
163,26,14
789,455,14
1925,1603,14
1858,573,13
1854,578,13
420,377,13
1866,1005,13
1721,1102,13
1058,757,13
1908,1472,13
415,377,13
260,446,13
35,1649,13
161,24,13
780,888,13
1390,622,13
436,1473,13
1214,1752,13
270,385,13
743,1289,13
1046,56,13
1786,1753,13
1608,1101,13
1976,74,13
421,378,13
567,606,13
209,508,13
1794,1979,13
12,255,13
1231,1745,13
1839,581,13
1777,1549,13
1955,1758,13
1123,994,13
81,259,13
18,125,13
1852,590,13
1249,1042,13
561,1457,13
1775,1751,13
956,1921,13
1985,101,13
1462,1639,13
1948,1544,13
174,894,13
1695,1342,13
1755,1646,13
390,1507,12
104,769,12
1483,1894,12
625,442,12
393,1477,12
922,1867,12
1946,1775,12
1940,1600,12
1847,581,12
921,1871,12
196,1527,12
870,798,12
1230,1774,12
260,445,12
1230,1742,12
300,373,12
720,666,12
1062,756,12
1664,1265,12
1650,251,12
424,1063,12
753,1542,12
595,614,12
1658,1256,12
1237,1972,12
1879,1793,12
1767,1540,12
1656,1266,12
714,1236,12
428,380,12
199,1516,12
1652,1871,12
1997,170,12
1676,1251,12
1856,585,12
1856,583,12
1652,251,12
1994,93,12
745,725,12
1607,1785,12
368,390,12
1854,584,12
372,1466,12
175,1487,12
1933,1824,12
1945,1775,12
1779,1755,12
1631,1239,12
1216,1755,12
800,1879,12
1521,1186,12
351,374,12
1990,99,12
114,1076,12
968,466,12
1214,1753,12
1228,1749,12
659,221,11
701,1355,11
1083,768,11
1947,1768,11
429,1691,11
1664,1263,11
1911,1758,11
1632,1351,11
321,1177,11
1257,1242,11
371,398,11
1947,1771,11
1883,1797,11
1651,1741,11
722,735,11
273,503,11
165,895,11
287,1087,11
210,1662,11
1909,280,11
1932,1594,11
1835,585,11
1848,572,11
69,420,11
174,945,11
1223,1779,11
290,1376,11
