x_coordinate,y_coordinate,0
0,0,55
349,564,48
359,564,44
1058,755,39
653,1229,38
952,642,37
1999,1999,33
1851,590,32
1452,1558,32
8,1267,31
1000,1000,31
0,1999,30
1059,755,29
1999,0,28
661,221,28
1740,944,27
656,1229,27
1852,590,27
951,641,27
1006,647,27
1692,1204,26
104,768,26
655,1229,26
1484,1579,25
1853,590,25
1007,647,25
560,1307,25
1175,1866,25
1987,100,25
1059,756,24
1451,1559,24
1058,756,24
1907,1472,23
1898,1491,23
105,768,23
1908,1472,23
166,1079,23
1485,1579,23
633,728,22
1856,577,22
724,673,22
561,1306,22
1504,448,21
1976,74,21
195,489,21
1956,1817,21
1060,755,21
560,1310,21
249,1464,20
1451,1558,20
1680,1203,20
634,513,20
425,921,19
609,1425,19
184,216,19
728,1960,19
121,964,19
741,741,19
952,641,18
560,1308,18
414,1688,18
1854,590,18
662,221,18
723,673,18
1788,1408,18
1957,1817,18
500,557,18
1651,252,18
661,222,18
952,644,17
1643,1341,17
1958,1822,17
788,641,17
999,660,17
1932,94,17
1061,755,17
560,1305,16
421,381,16
271,386,16
422,378,16
982,505,16
1987,99,16
1249,381,16
443,1687,16
1,1,16
559,1309,16
721,1482,16
424,921,16
1694,1345,16
1898,1490,16
1692,1342,16
1898,1492,16
1690,1341,16
348,1756,16
1957,1814,15
1246,559,15
1850,590,15
105,964,15
1083,767,15
1987,98,15
1948,1817,15
560,1309,15
977,117,15
660,221,15
0,1464,15
932,655,15
1852,594,15
1775,1751,15
657,1606,15
619,1425,15
561,1310,15
582,1741,15
1934,1782,15
166,1080,15
1695,1342,14
1247,377,14
1032,590,14
634,515,14
175,216,14
105,963,14
1660,1669,14
614,1411,14
1490,719,14
1005,647,14
1890,1780,14
558,1308,14
209,1060,14
635,513,14
184,215,14
591,477,14
1905,1766,14
938,657,13
163,22,13
300,374,13
1957,1818,13
349,1756,13
635,279,13
559,1307,13
1190,1282,13
634,514,13
209,510,13
210,513,13
556,1752,13
1708,1338,13
3,1269,13
1060,756,13
549,1744,13
1452,1559,13
978,117,13
82,258,13
114,1597,13
541,1015,13
115,1597,13
1663,1238,13
18,282,13
116,1597,13
175,215,13
1639,1121,13
208,508,13
1987,95,13
1994,100,13
634,512,13
1741,944,13
559,1310,13
732,1586,13
414,1693,13
1249,446,13
1,0,13
1248,445,13
415,1687,13
1506,643,13
1024,744,13
1023,744,13
979,664,12
257,941,12
1956,1808,12
266,1234,12
261,445,12
862,1594,12
1804,1818,12
484,403,12
1044,57,12
980,117,12
763,491,12
1385,82,12
1058,642,12
1185,1284,12
174,895,12
1781,1754,12
732,1585,12
1850,1189,12
1891,1780,12
621,1417,12
210,466,12
948,657,12
657,1230,12
445,1687,12
300,372,12
1063,755,12
1980,74,12
1722,953,12
421,380,12
297,1376,12
559,1311,12
166,1077,12
1778,1810,12
1103,1349,12
207,487,12
196,488,12
1368,363,12
1226,543,12
953,641,12
1084,768,12
424,920,12
416,381,11
726,731,11
1331,1982,11
1668,1242,11
662,1191,11
732,1587,11
771,735,11
1745,1787,11
741,202,11
931,650,11
931,641,11
1,2,11
112,1597,11
373,1685,11
120,1597,11
209,512,11
119,1597,11
196,487,11
1523,1312,11
729,412,11
703,434,11
980,119,11
425,920,11
1694,1342,11
561,1307,11
1803,1818,11
1622,1242,11
1408,1570,11
1982,74,11
633,512,11
185,216,11
193,489,11
1954,1818,11
927,645,11
290,1376,11
753,1541,11
345,1754,11
444,1688,11
1486,505,11
1083,768,11
346,1436,11
345,1753,11
414,1689,11
412,1039,11
735,725,11
560,1306,11
1106,1504,11
1354,434,11
1244,1753,11
549,742,11
709,1480,11
1032,592,11
1661,1669,11
559,1308,11
1958,1816,11
928,1848,11
717,723,10
1654,1282,10
300,371,10
961,657,10
