x_coordinate,y_coordinate,0
203,1958,118
204,1958,106
227,1768,87
203,1957,86
222,1770,83
205,1958,81
221,1771,81
220,1768,80
204,1957,79
222,1769,77
223,1770,77
220,1769,77
224,1767,75
206,1958,73
222,1771,73
205,1957,71
221,1769,70
224,1771,70
226,1769,69
225,1767,67
219,1770,66
224,1770,66
225,1773,66
203,1956,66
223,1767,66
226,1768,65
225,1769,65
223,1769,64
220,1767,63
219,1763,63
224,1769,62
224,1768,62
223,1771,62
221,1767,62
221,1768,62
226,1767,62
222,1773,61
223,1768,61
225,1770,60
222,1762,60
225,1772,59
219,1764,59
222,1767,59
222,1765,59
222,1764,58
222,1776,58
219,1761,58
206,1957,57
217,1770,57
224,1766,57
222,1768,56
222,1766,56
224,1765,55
225,1768,55
225,1774,54
223,1763,54
205,1956,54
224,1764,53
223,1765,53
220,1765,52
219,1768,52
221,1765,52
207,1958,52
218,1773,52
221,1773,51
221,1762,51
225,1765,51
220,1770,51
218,1772,51
220,1771,50
220,1764,50
221,1770,50
220,1766,50
222,1772,49
224,1763,49
219,1767,49
225,1771,49
219,1773,49
223,1766,49
226,1770,49
218,1770,49
220,1760,48
204,1956,48
203,1955,48
222,1761,47
227,1770,47
221,1764,47
221,1760,47
227,1769,47
218,1769,46
218,1777,45
220,1763,45
219,1762,45
219,1771,45
218,1771,45
220,1759,45
218,1776,45
223,1758,45
223,1762,45
223,1764,44
218,1767,43
220,1775,43
218,1765,43
221,1774,43
222,1760,43
221,1766,43
222,1763,43
221,1772,42
218,1775,42
219,1775,42
223,1761,42
223,1759,42
217,1767,42
219,1769,41
219,1772,41
227,1764,41
221,1763,40
222,1774,40
226,1772,40
224,1758,40
226,1776,40
227,1767,40
226,1764,40
217,1768,40
1494,1021,40
217,1771,39
221,1761,39
225,1775,39
225,1764,39
225,1762,39
217,1769,39
224,1773,39
220,1773,39
224,1760,39
217,1766,39
207,1957,38
214,1769,38
224,1776,38
216,1770,38
223,1772,38
226,1773,38
219,1774,38
219,1766,38
195,1773,38
221,1756,38
217,1775,37
223,1760,37
222,1778,37
225,1763,37
227,1765,37
225,1766,37
223,1774,37
216,1771,37
216,1766,36
218,1768,36
221,1759,36
217,1761,36
217,1773,35
219,1777,35
221,1776,35
221,1755,35
222,1775,35
226,1774,35
224,1762,35
218,1762,34
217,1760,34
217,1777,34
203,1954,34
204,1959,34
217,1772,34
218,1763,34
0,0,34
219,1758,34
227,1760,34
219,1765,34
226,1766,34
224,1772,34
220,1777,34
200,1951,33
222,1759,33
223,1773,33
217,1762,33
218,1759,33
218,1760,33
224,1761,33
226,1759,33
226,1760,33
226,1763,33
220,1761,33
228,1768,33
223,1756,33
216,1768,32
226,1771,32
227,1759,32
216,1772,32
227,1763,32
217,1765,32
223,1757,32
219,1757,32
219,1778,32
219,1760,32
219,1759,32
221,1778,32
221,1775,32
218,1774,32
218,1758,32
218,1761,32
220,1779,32
220,1762,31
218,1766,31
210,1955,31
222,1756,31
215,1772,31
220,1757,31
212,1775,31
224,1775,31
221,1757,31
215,1773,31
216,1765,30
214,1770,30
227,1761,30
224,1759,30
225,1755,30
225,1761,30
218,1778,30
204,1952,30
220,1772,30
226,1761,30
205,1952,30
217,1764,30
228,1763,29
223,1754,29
220,1758,29
226,1754,29
225,1776,29
225,1754,29
216,1763,29
221,1752,29
222,1751,29
224,1757,29
1999,1999,29
226,1762,28
224,1774,28
223,1775,28
204,1948,28
203,1947,28
115,1767,28
217,1776,28
220,1776,28
220,1778,28
204,1955,28
218,1779,28
225,1753,28
225,1759,28
227,1758,28
216,1764,28
222,1757,28
116,1769,28
212,1768,28
216,1775,28
196,1773,28
228,1762,28
218,1764,28
217,1763,27
216,1773,27
219,1776,27
215,1770,27
223,1779,27
225,1758,27
216,1769,27
216,1767,27
215,1780,27
226,1755,27
221,1758,27
223,1741,27
219,1779,27
206,1950,27
127,1772,27
224,1756,27
227,1766,26
203,1952,26
200,1948,26
116,1770,26
213,1769,26
215,1771,26
206,1955,26
117,1769,26
221,1754,26
206,1956,26
217,1782,26
222,1755,26
210,1954,26
216,1776,26
220,1755,26
212,1773,26
574,557,26
226,1765,26
215,1768,26
223,1778,26
226,1756,26
214,1763,25
117,1770,25
223,1777,25
227,1772,25
207,1952,25
226,1758,25
205,1959,25
221,1781,25
215,1767,25
227,1756,25
116,1767,25
125,1776,25
200,1950,25
219,1783,24
126,1775,24
219,1756,24
215,1766,24
223,1776,24
223,1755,24
223,1780,24
225,1752,24
216,1777,24
125,1773,24
224,1752,24
157,1739,24
222,1758,24
206,1947,24
222,1779,24
214,1778,24
221,1750,24
220,1780,24
226,1757,24
200,1953,24
226,1775,23
216,1774,23
124,1774,23
207,1950,23
213,1774,23
222,1741,23
129,1776,23
237,1773,23
228,1765,23
190,1774,23
220,1774,23
195,1772,23
221,1751,23
224,1753,23
225,1781,23
216,1762,23
222,1749,23
227,1771,23
215,1774,23
221,1780,23
206,1959,23
212,1767,23
215,1763,23
229,1769,23
203,1959,23
214,1773,23
203,1951,23
227,1777,23
200,1954,22
200,1945,22
127,1771,22
213,1777,22
123,1775,22
217,1755,22
1505,1021,22
215,1764,22
200,1952,22
227,1781,22
227,1754,22
226,1781,22
156,1740,22
196,1772,22
224,1777,22
226,1780,22
212,1735,22
202,1945,22
227,1762,21
214,1772,21
127,1639,21
118,1769,21
194,1773,21
197,1771,21
224,1755,21
214,1765,21
221,1753,21
202,1956,21
212,1948,21
193,1773,21
224,1782,21
217,1779,21
223,1781,21
215,1762,21
213,1958,21
221,1782,21
223,1752,21
126,1774,21
211,1735,21
218,1757,21
215,1775,21
191,1775,21
216,1760,21
191,1770,21
225,1760,21
205,1947,21
204,1953,21
222,1748,21
121,1768,21
198,1771,21
221,1678,21
213,1772,21
204,1947,20
215,1948,20
213,1767,20
205,1951,20
223,1742,20
215,1777,20
225,1778,20
196,1777,20
126,1772,20
222,1750,20
349,564,20
189,1774,20
116,1768,20
220,1783,20
207,1948,20
112,1654,20
228,1759,20
220,1754,20
129,1778,20
221,1779,20
204,1951,20
216,1778,20
127,1632,20
109,1565,20
205,1950,20
127,1775,20
214,1734,20
204,1954,20
213,1765,20
223,1753,20
201,1775,19
211,1778,19
224,1778,19
123,1776,19
125,1775,19
207,1953,19
229,1762,19
226,1753,19
220,1752,19
127,1770,19
190,1776,19
220,1756,19
193,1772,19
222,1777,19
224,1754,19
118,1563,19
205,1948,19
224,1747,19
131,1770,19
217,1756,19
220,1749,19
198,1776,19
213,1770,19
206,1951,19
229,1772,19
227,1755,19
225,1757,19
228,1761,19
155,1741,19
97,1555,19
197,1776,19
214,1766,19
126,1773,19
126,1778,19
215,1778,19
227,1779,19
212,1777,19
197,1770,19
214,1774,19
227,1780,19
202,1952,19
125,1770,19
214,1776,19
228,1771,19
214,1775,19
125,1767,19
191,1769,19
212,1778,19
206,1952,19
212,1736,19
222,1754,19
223,1750,18
213,1735,18
214,1749,18
213,1771,18
125,1772,18
1022,55,18
1610,291,18
223,1745,18
214,1767,18
218,1782,18
1854,590,18
237,1774,18
126,1777,18
217,1778,18
125,1774,18
199,1776,18
207,1956,18
122,1771,18
129,1775,18
206,1948,18
212,1770,18
225,1747,18
156,1739,18
204,1949,18
224,1780,18
216,1780,18
215,1765,18
54,1452,18
215,1751,18
203,1953,18
219,1782,18
122,1769,18
210,1953,18
219,1754,18
211,1773,18
230,1759,18
225,1756,18
121,1769,18
215,1782,18
221,1777,18
195,1776,18
226,1687,18
224,1743,18
211,1777,18
124,1776,17
119,1773,17
19,121,17
194,1774,17
1058,757,17
126,1769,17
1058,756,17
121,1771,17
426,369,17
213,1773,17
126,1768,17
218,1755,17
132,1675,17
119,1642,17
115,1769,17
227,1750,17
213,1764,17
122,1774,17
192,1778,17
